onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
29.106	n/a	14553	contrastChangeB2_start	95	n/a
34.85	n/a	17425	contrastTrial_start	5	n/a
37.654	n/a	18827	right_target	9	n/a
39.562	n/a	19781	right_buttonPress	13	smiley_face
40.052	n/a	20026	contrastTrial_start	5	n/a
42.852	n/a	21426	left_target	8	n/a
44.462	n/a	22231	left_buttonPress	12	smiley_face
45.252	n/a	22626	contrastTrial_start	5	n/a
51.252	n/a	25626	right_target	9	n/a
52.642	n/a	26321	right_buttonPress	13	smiley_face
53.652	n/a	26826	contrastTrial_start	5	n/a
59.652	n/a	29826	left_target	8	n/a
61.062	n/a	30531	left_buttonPress	12	smiley_face
62.052	n/a	31026	contrastTrial_start	5	n/a
68.052	n/a	34026	right_target	9	n/a
69.362	n/a	34681	right_buttonPress	13	smiley_face
70.452	n/a	35226	contrastTrial_start	5	n/a
76.452	n/a	38226	left_target	8	n/a
77.882	n/a	38941	left_buttonPress	12	smiley_face
78.852	n/a	39426	contrastTrial_start	5	n/a
83.252	n/a	41626	left_target	8	n/a
84.502	n/a	42251	left_buttonPress	12	smiley_face
85.652	n/a	42826	contrastTrial_start	5	n/a
88.452	n/a	44226	right_target	9	n/a
89.992	n/a	44996	right_buttonPress	13	smiley_face
90.852	n/a	45426	contrastTrial_start	5	n/a
96.852	n/a	48426	right_target	9	n/a
98.302	n/a	49151	right_buttonPress	13	smiley_face
99.252	n/a	49626	contrastTrial_start	5	n/a
103.652	n/a	51826	right_target	9	n/a
105.202	n/a	52601	right_buttonPress	13	smiley_face
106.052	n/a	53026	contrastTrial_start	5	n/a
110.452	n/a	55226	right_target	9	n/a
111.552	n/a	55776	right_buttonPress	13	smiley_face
112.852	n/a	56426	contrastTrial_start	5	n/a
115.652	n/a	57826	right_target	9	n/a
117.292	n/a	58646	right_buttonPress	13	smiley_face
118.052	n/a	59026	contrastTrial_start	5	n/a
122.452	n/a	61226	left_target	8	n/a
123.612	n/a	61806	left_buttonPress	12	smiley_face
124.852	n/a	62426	contrastTrial_start	5	n/a
129.252	n/a	64626	right_target	9	n/a
130.362	n/a	65181	right_buttonPress	13	smiley_face
131.652	n/a	65826	contrastTrial_start	5	n/a
137.652	n/a	68826	right_target	9	n/a
138.942	n/a	69471	right_buttonPress	13	smiley_face
140.052	n/a	70026	contrastTrial_start	5	n/a
144.452	n/a	72226	right_target	9	n/a
145.882	n/a	72941	right_buttonPress	13	smiley_face
146.852	n/a	73426	contrastTrial_start	5	n/a
149.652	n/a	74826	right_target	9	n/a
151.352	n/a	75676	right_buttonPress	13	smiley_face
152.052	n/a	76026	contrastTrial_start	5	n/a
154.852	n/a	77426	left_target	8	n/a
156.212	n/a	78106	left_buttonPress	12	smiley_face
157.252	n/a	78626	contrastTrial_start	5	n/a
160.06	n/a	80030	left_target	8	n/a
161.37	n/a	80685	left_buttonPress	12	smiley_face
162.462	n/a	81231	contrastTrial_start	5	n/a
166.86	n/a	83430	left_target	8	n/a
168.13	n/a	84065	left_buttonPress	12	smiley_face
169.262	n/a	84631	contrastTrial_start	5	n/a
172.06	n/a	86030	left_target	8	n/a
173.182	n/a	86591	left_buttonPress	12	smiley_face
174.46	n/a	87230	contrastTrial_start	5	n/a
178.86	n/a	89430	left_target	8	n/a
180.2	n/a	90100	left_buttonPress	12	smiley_face
181.26	n/a	90630	contrastTrial_start	5	n/a
187.26	n/a	93630	left_target	8	n/a
188.73	n/a	94365	left_buttonPress	12	smiley_face
189.66	n/a	94830	contrastTrial_start	5	n/a
195.66	n/a	97830	left_target	8	n/a
197.57	n/a	98785	left_buttonPress	12	smiley_face
198.062	n/a	99031	contrastTrial_start	5	n/a
204.536	n/a	102268	break cnt	break cnt	n/a
230.306	n/a	115153	9999	9999	n/a
